epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,651.518,2.32061,3.36615,2.62691,0.15482,0.38168,0.11958,0.04631,2.28615,3.32786,2.84686,0.000648649,0.000648649,0.000648649
2,1330.02,1.76069,1.71678,2.0963,0.50761,0.54198,0.50883,0.29915,1.73001,1.86798,2.03949,0.0011851,0.0011851,0.0011851
3,2007.31,1.66035,1.62618,1.99929,0.51204,0.28244,0.33959,0.18318,2.23915,5.39118,2.65074,0.00158955,0.00158955,0.00158955
4,2706.33,1.57541,1.39356,1.94772,0.5277,0.77863,0.66385,0.40956,1.45307,2.50383,1.80947,0.001406,0.001406,0.001406
5,3400.26,1.53514,1.29286,1.90048,0.74018,0.73282,0.75946,0.47992,1.47758,1.5304,1.84865,0.001208,0.001208,0.001208
6,4113.71,1.44801,1.22798,1.82423,0.83114,0.78907,0.84135,0.52603,1.5219,1.18674,1.87027,0.00101,0.00101,0.00101
7,4914.59,1.40086,1.16369,1.79279,0.85717,0.74809,0.85858,0.53303,1.42276,1.05446,1.76584,0.000812,0.000812,0.000812
8,5609.08,1.34419,1.03392,1.71672,0.75633,0.85496,0.83848,0.54845,1.33096,1.09308,1.69761,0.000614,0.000614,0.000614
9,6269.13,1.31765,0.99032,1.69959,0.80413,0.8626,0.88615,0.60289,1.26232,0.93738,1.61643,0.000416,0.000416,0.000416
10,6919.42,1.24518,0.95658,1.65024,0.85915,0.83814,0.9014,0.6054,1.26675,0.8974,1.63685,0.000218,0.000218,0.000218
